"id"|"name"|"description"|"genre"|"image"|"actors"|"country"|"language"|"runtime"|"year"
"1363"|"To Die For"|"Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband."|"Comedy, Crime, Drama"|"http://ia.media-imdb.com/images/M/MV5BOTQwODcwOTY1NV5BMl5BanBnXkFtZTcwNjIwOTc0NA@@._V1_SX300.jpg"|"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck"|"USA, UK, Canada"|"English"|"106 min"|1995
"1364"|"Malena"|"A woman provokes sensual awakenings in a group of adolescent boys."|"Drama, Romance, War"|"http://ia.media-imdb.com/images/M/MV5BMTI0MzgzMDQ1NV5BMl5BanBnXkFtZTcwODgwNjUxMQ@@._V1_SX300.jpg"|"Monica Bellucci, Giuseppe Sulfaro, Luciano Federico, Matilde Piana"|"Italy, USA"|"Italian, English, Latin, Greek,  Ancient (to 1453)"|"109 min"|2000
"1365"|"The Money Pit"|"A young couple struggles to repair a hopelessly dilapidated house."|"Comedy"|"http://ia.media-imdb.com/images/M/MV5BMTIzODEzODE2OF5BMl5BanBnXkFtZTcwNjQ3ODcyMQ@@._V1_SX300.jpg"|"Tom Hanks, Shelley Long, Alexander Godunov, Maureen Stapleton"|"USA"|"English, Spanish, Chinese"|"91 min"|1986
"1366"|"Mickey Blue Eyes"|"An English auctioneer proposes to the daughter of a mafia kingpin, only to realize that certain \"favors\" would be asked of him."|"Comedy, Crime, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTU5MTU0MjExMV5BMl5BanBnXkFtZTcwNDYwOTIyMQ@@._V1_SX300.jpg"|"Hugh Grant, James Caan, Jeanne Tripplehorn, Burt Young"|"UK, USA"|"English"|"102 min"|1999
"1367"|"Dr. Strangelove"|"An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop."|"Comedy"|"http://ia.media-imdb.com/images/M/MV5BMTU2ODM2NTkxNF5BMl5BanBnXkFtZTcwOTMwMzU3Mg@@._V1_SX300.jpg"|"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn"|"USA, UK"|"English, Russian"|"95 min"|1964
"1368"|"Memento"|"A man creates a strange system to help him remember things; so he can hunt for the murderer of his wife without his short-term memory loss being an obstacle."|"Mystery, Thriller"|"http://ia.media-imdb.com/images/M/MV5BMTc4MjUxNDAwN15BMl5BanBnXkFtZTcwMDMwNDg3OA@@._V1_SX300.jpg"|"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"|"USA"|"English"|"113 min"|2000
"1369"|"Honeymoon in Vegas"|"On her deathbed, a mother makes her son promise never to get married, which scars him with psychological blocks to a commitment with his girlfriend. They finally decide to tie the knot in ..."|"Comedy, Romance, Thriller"|"http://ia.media-imdb.com/images/M/MV5BMTM0Mzc1MTA4MV5BMl5BanBnXkFtZTcwOTg2NzE0NA@@._V1_SX300.jpg"|"James Caan, Nicolas Cage, Sarah Jessica Parker, Pat Morita"|"USA"|"English, Hawaiian"|"96 min"|1992
"1370"|"Eve's Bayou"|"The story is set in 1962 Louisiana. The Batiste family is headed by charming doctor Louis. Though he is married to beautiful Roz, he has a weakness for attractive female patients. One night..."|"Drama"|"http://ia.media-imdb.com/images/M/MV5BMTg4ODA3OTMyNV5BMl5BanBnXkFtZTcwMDczNzcxMQ@@._V1_SX300.jpg"|"Jurnee Smollett-Bell, Meagan Good, Lynn Whitfield, Samuel L. Jackson"|"USA"|"English"|"109 min"|1997
"1371"|"Stuck on You"|"Conjoined twins from Martha's Vineyard move to Los Angeles so that one of them can pursue an acting career."|"Comedy"|"http://ia.media-imdb.com/images/M/MV5BMTYwODE1MTc3NF5BMl5BanBnXkFtZTcwMjQxMzQyMQ@@._V1_SX300.jpg"|"Matt Damon, Greg Kinnear, Eva Mendes, Wen Yann Shih"|"USA"|"English"|"118 min"|2003
"1372"|"Donnie Brasco"|"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."|"Biography, Crime, Drama"|"http://ia.media-imdb.com/images/M/MV5BNjYwMTI0NzUzOV5BMl5BanBnXkFtZTgwNjk3NjQxMTE@._V1_SX300.jpg"|"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby"|"USA"|"English, Italian, Japanese"|"127 min"|1997
"1373"|"A Walk to Remember"|"The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service."|"Drama, Family, Music"|"http://ia.media-imdb.com/images/M/MV5BMTM1MTYzNjA3M15BMl5BanBnXkFtZTcwMjk2NTE4Mg@@._V1_SX300.jpg"|"Shane West, Mandy Moore, Peter Coyote, Daryl Hannah"|"USA"|"English"|"101 min"|2002
"1374"|"Joe Somebody"|"When Joe is beat up by a co-worker in front of his daughter on \"Bring Your Child To Work Day\", he decides to fight back."|"Comedy, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTI0NjExNzg2MF5BMl5BanBnXkFtZTYwNjQxMzU3._V1_SX300.jpg"|"Tim Allen, Julie Bowen, Kelly Lynch, Greg Germann"|"USA"|"English"|"98 min"|2001
"1375"|"Rebecca"|"A self-conscious bride is tormented by the memory of her husband's dead first wife."|"Drama, Film-Noir, Horror"|"http://ia.media-imdb.com/images/M/MV5BMTM5ODA4ODMzM15BMl5BanBnXkFtZTcwOTA2NTEwNA@@._V1._CR9,22,314,458_SY132_CR0,0,89,132_AL_.jpg_V1_SX300.jpg"|"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson"|"USA"|"French, English"|"130 min"|1940
"1376"|"Empire of the Sun"|"A young English boy struggles to survive under Japanese occupation during World War II."|"Drama, History, War"|"http://ia.media-imdb.com/images/M/MV5BMTI1Nzk0MjI5Ml5BMl5BanBnXkFtZTYwMDc1NDc5._V1_SX300.jpg"|"Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers"|"USA"|"English, Japanese, Mandarin"|"153 min"|1987
"1377"|"Unfaithful"|"A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling."|"Drama, Thriller"|"http://ia.media-imdb.com/images/M/MV5BMTU4MzUzNjk5OV5BMl5BanBnXkFtZTYwMjc1OTc5._V1_SX300.jpg"|"Diane Lane, Erik Per Sullivan, Richard Gere, Olivier Martinez"|"USA, Germany, France"|"English, French"|"124 min"|2002
"1378"|"Diner"|"A group of college-age buddies struggle with their imminent passage into adulthood in 1959 Baltimore."|"Comedy, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTk2MTA3OTY4NV5BMl5BanBnXkFtZTYwMTQwOTM5._V1_SX300.jpg"|"Steve Guttenberg, Daniel Stern, Mickey Rourke, Kevin Bacon"|"USA"|"English"|"110 min"|1982
"1379"|"Gremlins"|"A boy inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town."|"Comedy, Fantasy, Horror"|"http://ia.media-imdb.com/images/M/MV5BMTU4Njk2MzU4Ml5BMl5BanBnXkFtZTYwNjE1MTg4._V1_SX300.jpg"|"Hoyt Axton, John Louie, Keye Luke, Don Steele"|"USA"|"English, Spanish"|"106 min"|1984
"1380"|"Saving Grace"|"A small-town English widow, facing financial troubles after her husband's suicide, turns to agriculture of an illegal kind."|"Comedy, Crime"|"http://ia.media-imdb.com/images/M/MV5BMjE1MTI4Mjk4Ml5BMl5BanBnXkFtZTcwODc0MzMyMQ@@._V1_SX300.jpg"|"Brenda Blethyn, Craig Ferguson, Martin Clunes, Tchéky Karyo"|"UK"|"French, English"|"93 min"|2000
"1381"|"That Thing You Do!"|"A Pennsylvania band scores a hit in 1964 and rides the star-making machinery as long as it can, with lots of help from its manager."|"Comedy, Drama, Music"|"http://ia.media-imdb.com/images/M/MV5BMTczMzM2MTM0NF5BMl5BanBnXkFtZTcwMTIwMDQ0MQ@@._V1_SX300.jpg"|"Tom Everett Scott, Liv Tyler, Johnathon Schaech, Steve Zahn"|"USA"|"English"|"108 min"|1996
"1382"|"The Cooler"|"In an old school Las Vegas casino, its top gambling jinx breaks his curse when he falls in love, much to his boss' consternation."|"Crime, Drama, Fantasy"|"http://ia.media-imdb.com/images/M/MV5BMTQzOTI5MDcxMV5BMl5BanBnXkFtZTYwMDQwOTI3._V1_SX300.jpg"|"William H. Macy, Alec Baldwin, Maria Bello, Shawn Hatosy"|"USA"|"English"|"101 min"|2003
"1383"|"Standing in the Shadows of Motown"|"Documentary about the Funk Brothers, a group of Detroit musicians who backed up dozens of Motown artists."|"Documentary, Music"|"http://ia.media-imdb.com/images/M/MV5BMTczMzY3NjE3NF5BMl5BanBnXkFtZTYwMjYxMzg5._V1_SX300.jpg"|"Richard 'Pistol' Allen, Jack Ashford, Bob Babbitt, Benny 'Papa Zita' Benjamin"|"USA"|"English"|"108 min"|2002
"1384"|"An American Werewolf in London"|"Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists."|"Comedy, Fantasy, Horror"|"http://ia.media-imdb.com/images/M/MV5BNTYzMDk3MzIyNV5BMl5BanBnXkFtZTgwOTM2OTE4MzE@._V1_SX300.jpg"|"Joe Belcher, David Naughton, Griffin Dunne, David Schofield"|"UK, USA"|"English"|"97 min"|1981
"1385"|"Where the Money Is"|"Carol Ann MacKay is a fine, popular nurse at a retirement home, and spends her free time with her hunky athletic husband Wayne MacKay, who was the star of her school's football team when ..."|"Drama, Comedy, Crime"|"http://ia.media-imdb.com/images/M/MV5BMjE2MzY3NTExMF5BMl5BanBnXkFtZTcwNjU2ODkxMQ@@._V1_SX300.jpg"|"Paul Newman, Linda Fiorentino, Dermot Mulroney, Susan Barnes"|"Germany, USA, UK, Canada"|"English"|"89 min"|2000
"1386"|"Fallen Angels"|"A disillusioned killer embarks on his last hit but first he has to overcome his affections for his cool, detached partner. Thinking it's dangerous and improper to become involved with a ..."|"Crime, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTc3NzI0MzQ3M15BMl5BanBnXkFtZTcwMzA0MDMzNA@@._V1_SX300.jpg"|"Leon Lai, Michelle Reis, Takeshi Kaneshiro, Charlie Yeung"|"Hong Kong"|"Cantonese"|"96 min"|1995
"1387"|"The War of the Roses"|"A married couple try everything to get each other to leave the house in a vicious divorce battle."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTgwNTAyMDIwOF5BMl5BanBnXkFtZTcwMjcxMTU1MQ@@._V1_SX300.jpg"|"Michael Douglas, Kathleen Turner, Danny DeVito, Marianne Sägebrecht"|"USA"|"English"|"116 min"|1989
"1388"|"Anchorman: The Legend of Ron Burgundy"|"Ron Burgundy is San Diego's top rated newsman in the male-dominated broadcasting of the '70s, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor."|"Comedy"|"http://ia.media-imdb.com/images/M/MV5BMTQ2MzYwMzk5Ml5BMl5BanBnXkFtZTcwOTI4NzUyMw@@._V1_SX300.jpg"|"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell"|"USA"|"English, French, Spanish"|"94 min"|2004
"1389"|"Little Buddha"|"Lama Norbu comes to Seattle in search of the reincarnation of his dead teacher, Lama Dorje. His search leads him to young Jesse Conrad, Raju, a waif from Kathmandu, and an upper class ..."|"Drama"|"http://ia.media-imdb.com/images/M/MV5BMTM1NzQ4MDY0NV5BMl5BanBnXkFtZTcwOTg4MTgyMQ@@._V1_SX300.jpg"|"Keanu Reeves, Ruocheng Ying, Chris Isaak, Alex Wiesendanger"|"Italy, France, Liechtenstein, UK"|"English"|"123 min"|1993
"1390"|"The Road Warrior"|"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline rich, community escape a band of bandits."|"Action, Adventure, Sci-Fi"|"http://ia.media-imdb.com/images/M/MV5BMTcxMDUyODY1OF5BMl5BanBnXkFtZTYwOTQzNDk4._V1_SX300.jpg"|"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps"|"Australia"|"English"|"94 min"|1981
"1391"|"Go"|"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjE0MTk3MjE2Nl5BMl5BanBnXkFtZTcwMjE0ODA0NA@@._V1_SX300.jpg"|"Adam Sandler, Jennifer Aniston, Nicole Kidman, Nick Swardson"|"USA"|"English"|"117 min"|2011
"1392"|"Willow"|"A reluctant dwarf must play a critical role in protecting a special baby from an evil queen."|"Action, Adventure, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTk2MjIwODIwM15BMl5BanBnXkFtZTcwNjM1MTgyMQ@@._V1_SX300.jpg"|"Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh"|"USA, New Zealand, UK"|"English"|"126 min"|1988
"1393"|"Pump Up the Volume"|"Mark runs a pirate radio station and causes an uproar when he speaks his mind and enthralls fellow teens."|"Comedy, Drama, Music"|"http://ia.media-imdb.com/images/M/MV5BNzY2OTkzNzUyNl5BMl5BanBnXkFtZTgwNTY1NTk4NjE@._V1_SX300.jpg"|"Christian Slater, Annie Ross, Andy Romano, Scott Paulin"|"Canada, USA"|"English"|"102 min"|1990
"1394"|"The Station Agent"|"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss."|"Comedy, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTUzNDgyMzg3Ml5BMl5BanBnXkFtZTcwMzIxNTAwMQ@@._V1_SX300.jpg"|"Peter Dinklage, Paul Benjamin, Jase Blankfort, Paula Garcés"|"USA"|"English, Spanish"|"89 min"|2003
"1395"|"Clerks"|"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."|"Comedy"|"http://ia.media-imdb.com/images/M/MV5BMTg3MTkyMzA0NF5BMl5BanBnXkFtZTgwNTg0NDI1MDE@._V1_SX300.jpg"|"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer"|"USA"|"English"|"92 min"|1994
"1396"|"Singles"|"A group of twenty-something friends, most of whom live in the same apartment complex, search for love and success in grunge-era Seattle."|"Comedy, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjA2MDUzMTA2MV5BMl5BanBnXkFtZTcwMTExNzkxMQ@@._V1_SX300.jpg"|"Bridget Fonda, Campbell Scott, Kyra Sedgwick, Sheila Kelley"|"USA"|"English"|"99 min"|1992
"1397"|"Antwone Fisher"|"Antwone Fisher, a young navy man, is forced to see a psychiatrist after a violent outburst against a fellow crewman. During the course of treatment a painful past is revealed and a new hope begins."|"Biography, Drama"|"http://ia.media-imdb.com/images/M/MV5BNzQ4MjI1ODI0NF5BMl5BanBnXkFtZTcwMjA0MTQyMQ@@._V1_SX300.jpg"|"Derek Luke, Malcolm David Kelley, Cory Hodges, Denzel Washington"|"USA"|"English, Japanese"|"120 min"|2002
"1398"|"Protocol"|"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."|"Action, Adventure, Thriller"|"http://ia.media-imdb.com/images/M/MV5BMTY4MTUxMjQ5OV5BMl5BanBnXkFtZTcwNTUyMzg5Ng@@._V1_SX300.jpg"|"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner"|"USA, United Arab Emirates, Czech Republic"|"English, Russian, French, Arabic, Swedish"|"133 min"|2011
"1399"|"Grosse Pointe Blank"|"Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time."|"Action, Comedy, Crime"|"http://ia.media-imdb.com/images/M/MV5BMjA5MzMwMjE4OV5BMl5BanBnXkFtZTgwMTcwNTcxMTE@._V1_SX300.jpg"|"John Cusack, Minnie Driver, Alan Arkin, Dan Aykroyd"|"USA"|"English"|"107 min"|1997
"1400"|"Unbreakable"|"A man learns something extraordinary about himself after a devastating accident."|"Drama, Mystery, Sci-Fi"|"http://ia.media-imdb.com/images/M/MV5BMTQ5MzkyMjk2Nl5BMl5BanBnXkFtZTYwOTAxOTE3._V1_SX300.jpg"|"Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark"|"USA"|"English"|"106 min"|2000
"1401"|"Metallica: Some Kind of Monster"|"A documentary crew followed Metallica for the better part of 2001-2003, a time of tension and release for the rock band, as they recorded their album St. Anger, fought bitterly, and sought the counsel of their on-call shrink."|"Documentary, Music"|"http://ia.media-imdb.com/images/M/MV5BMjA4MzY1Nzc3NF5BMl5BanBnXkFtZTYwMzUxNTU3._V1_SX300.jpg"|"James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo"|"USA"|"English"|"141 min"|2004
"1402"|"Pee-Wee's Big Adventure"|"When eccentric man-child Pee-Wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life."|"Adventure, Comedy, Family"|"http://ia.media-imdb.com/images/M/MV5BMjEyMjI3MjAxMF5BMl5BanBnXkFtZTYwOTMxNzk4._V1_SX300.jpg"|"Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger"|"USA"|"English"|"91 min"|1985
"1403"|"Volunteers"|"Lawrence is a rich kid with a bad accent and a large debt. After his father refuses to help him out, Lawrence escapes his angry debtors by jumping on a Peace Corp flight to Southeast Asia, ..."|"Comedy"|"http://ia.media-imdb.com/images/M/MV5BMTY2MzAyMDY2MF5BMl5BanBnXkFtZTYwODY1NTU5._V1_SX300.jpg"|"Tom Hanks, John Candy, Rita Wilson, Tim Thomerson"|"USA"|"English"|"107 min"|1985
"1404"|"The Umbrellas of Cherbourg"|"A young girl separated from her lover by war faces a life altering decision."|"Drama, Musical, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjE5NzQ2NTQ5OF5BMl5BanBnXkFtZTgwMzYyNTM3MjE@._V1_SX300.jpg"|"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel"|"France, West Germany"|"French"|"91 min"|1964
"1405"|"Mr. 3000"|"Aging baseball star who goes by the nickname, Mr. 3000, finds out many years after retirement that he didn't quite reach 3,000 hits. Now at age 47 he's back to try and reach that goal."|"Comedy, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTg5NTk2MTQ0NV5BMl5BanBnXkFtZTcwNjMyNTUyMQ@@._V1_SX300.jpg"|"Bernie Mac, Angela Bassett, Michael Rispoli, Brian White"|"USA"|"English"|"104 min"|2004
"1406"|"Lara Croft: Tomb Raider: The Cradle of Life"|"Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box before an evil scientist and recruits a former Marine turned mercenary to assist her."|"Action, Adventure, Fantasy"|"http://ia.media-imdb.com/images/M/MV5BMTI0NzI3MTU5OF5BMl5BanBnXkFtZTYwODU2Nzk5._V1_SX300.jpg"|"Angelina Jolie, Gerard Butler, Ciarán Hinds, Chris Barrie"|"USA, Germany, Japan, UK"|"English, Mandarin"|"117 min"|2003
"1407"|"Star Wars: Episode II: Attack of the Clones"|"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé, while Obi-Wan investigates an assassination attempt on the Senator and discovers a secret clone army crafted for the Jedi."|"Action, Adventure, Fantasy"|"http://ia.media-imdb.com/images/M/MV5BMTY5MjI5NTIwNl5BMl5BanBnXkFtZTYwMTM1Njg2._V1_SX300.jpg"|"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee"|"USA"|"English"|"142 min"|2002
"1408"|"Atlantic City"|"In a corrupt city, a small-time gangster and the estranged wife of a pot dealer finds themselves thrown together in an escapade of love, money, drugs, and danger."|"Crime, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BYThhZmI4ZjYtYzZlZS00NWRlLWJkZmMtNGVlMzIyNmE1ZjU1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg"|"Burt Lancaster, Susan Sarandon, Kate Reid, Michel Piccoli"|"Canada, France"|"French, English"|"104 min"|1980
"1409"|"A Time to Kill"|"A young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the K.K.K."|"Crime, Drama, Thriller"|"http://ia.media-imdb.com/images/M/MV5BMjIwMzI2NTk3N15BMl5BanBnXkFtZTgwMDgxNTYxMTE@._V1_SX300.jpg"|"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey"|"USA"|"English"|"149 min"|1996
"1410"|"Rounders"|"A young man is a reformed gambler who must return to playing big stakes poker to help a friend pay off loan sharks."|"Crime, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTc4OTcxNDY2Nl5BMl5BanBnXkFtZTgwNDg0MzkxMDE@._V1_SX300.jpg"|"Matt Damon, Gretchen Mol, John Malkovich, Paul Cicero"|"USA"|"English, Hebrew, Russian"|"121 min"|1998
"1411"|"Crimes and Misdemeanors"|"An ophthalmologist's mistress threatens to reveal their affair to his wife, while a married documentary filmmaker is infatuated by another woman."|"Comedy, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTgxMDE3NDMwOV5BMl5BanBnXkFtZTcwMDQwODQ2NA@@._V1_SX300.jpg"|"Bill Bernstein, Martin Landau, Claire Bloom, Stephanie Roth Haberle"|"USA"|"English, Hebrew"|"104 min"|1989
"1412"|"Private Benjamin"|"A sheltered young high society woman joins the United States Army on a whim and finds herself in a more difficult situation than she ever expected."|"Comedy, War"|"http://ia.media-imdb.com/images/M/MV5BMjIyNjkxMjUyMF5BMl5BanBnXkFtZTgwMzU0MjEyMDE@._V1_SX300.jpg"|"Goldie Hawn, Eileen Brennan, Armand Assante, Robert Webber"|"USA"|"English"|"109 min"|1980
"1413"|"Arthur"|"A demystified take on the tale of King Arthur and the Knights of the Round Table."|"Action, Adventure, Drama"|"http://ia.media-imdb.com/images/M/MV5BMTk4MTk1NjI0OV5BMl5BanBnXkFtZTcwNDQxOTUyMQ@@._V1_SX300.jpg"|"Clive Owen, Ioan Gruffudd, Mads Mikkelsen, Joel Edgerton"|"USA, UK, Ireland"|"English, Irish, Latin, Scottish Gaelic, Welsh"|"126 min"|2004
"1414"|"Boogie Nights"|"The story of a young man's adventures in the Californian pornography industry of the late 1970s and early 1980s."|"Drama"|"http://ia.media-imdb.com/images/M/MV5BMjMzNzkwNjEyOF5BMl5BanBnXkFtZTgwOTY3Njc3NjE@._V1_SX300.jpg"|"Luis Guzmán, Burt Reynolds, Julianne Moore, Rico Bueno"|"USA"|"English"|"155 min"|1997
"1415"|"L'Avventura"|"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other."|"Drama, Mystery"|"http://ia.media-imdb.com/images/M/MV5BMTQ1NzE1NzkwNl5BMl5BanBnXkFtZTYwNjgzNzQ5._V1_SX300.jpg"|"Gabriele Ferzetti, Monica Vitti, Lea Massari, Dominique Blanchar"|"Italy, France"|"Italian, English"|"143 min"|1960
"1416"|"The Goonies"|"In order to save their home from foreclosure, a group of misfits set out to find a pirate's ancient treasure."|"Adventure, Comedy, Family"|"http://ia.media-imdb.com/images/M/MV5BMTEyMzM3NDQyMjJeQTJeQWpwZ15BbWU4MDE4ODY0NjEx._V1_SX300.jpg"|"Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman"|"USA"|"Cantonese, English, Italian, Spanish"|"114 min"|1985
"1417"|"Showgirls"|"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls."|"Drama"|"http://ia.media-imdb.com/images/M/MV5BNzcyMjExNjg3OF5BMl5BanBnXkFtZTgwOTY4Mjc1MDE@._V1_SX300.jpg"|"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Glenn Plummer"|"France, USA"|"English"|"128 min"|1995
"1418"|"Warm Water Under a Red Bridge"|"A down-and-out businessman travels to a seaside town, where he meets a woman with unusual sexual powers."|"Comedy, Drama, Fantasy"|"http://ia.media-imdb.com/images/M/MV5BMTc2MDY5OTI1OV5BMl5BanBnXkFtZTcwNjgxMDAwMQ@@._V1_SX300.jpg"|"Kôji Yakusho, Misa Shimizu, Mitsuko Baishô, Mansaku Fuwa"|"Japan, France"|"Japanese"|"119 min"|2001
"1419"|"Manhattan"|"The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress."|"Comedy, Drama, Romance"|"http://ia.media-imdb.com/images/M/MV5BMjI4MDIyNjcxMl5BMl5BanBnXkFtZTcwNjA4OTYwNA@@._V1_SX300.jpg"|"Woody Allen, Diane Keaton, Michael Murphy, Mariel Hemingway"|"USA"|"English"|"96 min"|1979
"1420"|"The Lady from Shanghai"|"Fascinated by gorgeous Mrs. Bannister, seaman Michael O'Hara joins a bizarre yachting cruise, and ends up mired in a complex murder plot."|"Crime, Drama, Film-Noir"|"http://ia.media-imdb.com/images/M/MV5BMjIyNTgxNjk4OF5BMl5BanBnXkFtZTgwMzU4ODE4MzE@._V1_SX300.jpg"|"Rita Hayworth, Orson Welles, Everett Sloane, Glenn Anders"|"USA"|"Cantonese, English"|"87 min"|1947
"1421"|"Britney Spears: Greatest Hits: My Prerogative"|"This DVD features every music video Britney Spears has ever filmed up to her 2004 release of her Greatest Hits CD. Twenty videos are included including her very first video \"...Baby One ..."|"Music"|"http://ia.media-imdb.com/images/M/MV5BMTQ0MjczNDk1MF5BMl5BanBnXkFtZTcwODQxNjM0Mg@@._V1_SX300.jpg"|"Britney Spears, Vergi Rodriguez, Tyson Beckford, Tony Boldi"|"USA"|"English"|"160 min"|2004
"1422"|"Antz"|"A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves."|"Animation, Adventure, Comedy"|"http://ia.media-imdb.com/images/M/MV5BMTIyNjc4OTk2NF5BMl5BanBnXkFtZTcwMjcyMTcyMQ@@._V1_SX300.jpg"|"Woody Allen, Dan Aykroyd, Anne Bancroft, Jane Curtin"|"USA"|"English"|"83 min"|1998
"1423"|"Shallow Hal"|"A shallow man falls in love with a 300 pound woman because of her \"inner beauty\"."|"Comedy, Drama, Fantasy"|"http://ia.media-imdb.com/images/M/MV5BMTcwMzY2NDE0NF5BMl5BanBnXkFtZTYwNjg2Njc2._V1_SX300.jpg"|"Gwyneth Paltrow, Jack Black, Jason Alexander, Joe Viterelli"|"USA, Germany"|"English"|"114 min"|2001
"1424"|"The Mummy"|"An American serving in the French Foreign Legion on an archaeological dig at the ancient city of Hamunaptra accidentally awakens a mummy."|"Action, Adventure, Fantasy"|"http://ia.media-imdb.com/images/M/MV5BMTcwMjQ3Mjk0MV5BMl5BanBnXkFtZTgwNzcxNTYxMTE@._V1_SX300.jpg"|"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"|"USA"|"English, Arabic, Egyptian (Ancient)"|"125 min"|1999
"1425"|"Happy Accidents"|"Ruby Weaver has man trouble: she tries to fix them, so she's stuck herself with a string of losers. Her current lover, Sam Deed, seems different: he's sweet, tender, just in from Dubuque. ..."|"Comedy, Romance"|"http://ia.media-imdb.com/images/M/MV5BMTYyNDY2ODg3NF5BMl5BanBnXkFtZTcwMDQ0Mjk3OA@@._V1_SX300.jpg"|"Marty Davey, Marisa Tomei, Vincent D'Onofrio, Nadia Dajani"|"USA"|"English"|"110 min"|2000
"1426"|"The Celebration"|"At Helge's 60th birthday party, some unpleasant family truths are revealed."|"Drama"|"http://ia.media-imdb.com/images/M/MV5BMjYzMTYwNTIyMV5BMl5BanBnXkFtZTcwOTU2MjM2NQ@@._V1_SX300.jpg"|"Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen, Paprika Steen"|"Denmark, Sweden"|"German, English, Danish"|"105 min"|1998
